trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-114.90576063641107,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-194.0372133318551,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,10,-44.893166663992886,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-87.39349764904769,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-112.68889984750199,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-67.71834321191562,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-146.50392109158344,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-137.30531847661817,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-104.35802721233631,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-131.92401812603197,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",35,15,-22.481120485350957,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-115.51953954990068,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-81.26622627652164,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,0,-217.62278719321543,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 5}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,19,1.1225288745745416,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,0,-131.12294766191334,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-118.65090133696737,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
