trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,9,-64.27866139178654,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.21621200535685,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.21338770046984,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.85432710370583,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.4322026056178,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.15871824686909,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,15,-7.613678997813798,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.27323857254902,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.71121069957035,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.45316522405432,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.094753699545954,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.24022207626471,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,9,-78.01857844959059,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.53752335234661,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.1253043036979,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
